ID_Funcionario,Nome,Departamento,Cargo,Salario,Data_Admissao,Genero,Idade,Estado_Civil,Status
30,Nathan da Mota,RH,Gerente,5525.11,2016-07-29,M,45,Viúvo,Inativo
31,Fernando Barbosa,Logística,Gerente,10602.49,2022-09-15,F,51,Solteiro,Inativo
32,Maria Sophia Campos,RH,Assistente,9515.1,2017-12-25,F,18,Solteiro,Inativo
33,Augusto Jesus,Vendas,Assistente,8686.25,2021-07-11,M,36,Casado,Ativo
34,Sr. Luigi Porto,Produção,Assistente,14387.97,2017-12-12,M,51,Casado,Ativo
35,Luana Costa,Vendas,Coordenador,5824.04,2024-03-29,M,21,Casado,Ativo
36,Laura da Rosa,Financeiro,Gerente,6576.83,2021-09-07,M,23,Viúvo,Ativo
37,Dra. Letícia Jesus,TI,Assistente,13842.9,2020-08-16,M,40,Casado,Ativo
38,Pietro Cunha,Logística,Analista,6665.09,2024-11-30,M,64,Casado,Inativo
39,Pedro Lucas Nogueira,RH,Coordenador,3250.96,2019-06-08,M,30,Solteiro,Ativo
40,Srta. Amanda Souza,TI,Analista,8381.25,2017-05-17,F,58,Solteiro,Ativo
41,Sr. Bernardo da Cruz,Financeiro,Técnico,14074.49,2023-12-13,M,34,Casado,Ativo
42,Sr. Pedro Fernandes,Logística,Coordenador,6640.43,2025-06-02,M,41,Viúvo,Ativo
43,Marcos Vinicius Nogueira,Financeiro,Coordenador,9660.73,2019-06-11,F,41,Casado,Ativo
44,Pedro Henrique Azevedo,Financeiro,Coordenador,6236.93,2017-09-10,F,40,Solteiro,Ativo
45,Sophie Vieira,Financeiro,Assistente,2763.99,2024-12-28,F,35,Solteiro,Ativo
46,Murilo da Paz,Logística,Analista,2765.1,2018-02-09,M,62,Viúvo,Ativo
47,Sra. Luiza Barros,Logística,Analista,10035.11,2017-11-09,F,58,Divorciado,Ativo
48,Maitê da Mota,Vendas,Coordenador,7727.77,2018-02-05,M,56,Casado,Ativo
49,João Miguel Teixeira,RH,Coordenador,8396.11,2016-06-04,M,48,Solteiro,Ativo
50,Benjamin da Costa,TI,Gerente,9766.01,2024-04-27,M,51,Divorciado,Inativo
51,Esther Nunes,Vendas,Coordenador,6506.85,2016-01-19,F,30,Solteiro,Inativo
52,Lorenzo Campos,Produção,Gerente,10022.05,2017-12-08,M,27,Casado,Ativo
53,Bruno Monteiro,Logística,Coordenador,12624.23,2023-04-19,M,52,Solteiro,Inativo
54,Caroline Freitas,Produção,Analista,4529.45,2020-09-01,F,18,Viúvo,Inativo
55,Cauã Monteiro,Produção,Coordenador,6495.75,2019-10-07,F,56,Viúvo,Inativo
56,Maria Julia Araújo,TI,Assistente,12478.91,2021-03-25,M,53,Viúvo,Ativo
57,Marcela Almeida,Financeiro,Coordenador,4500.05,2020-05-26,F,50,Solteiro,Ativo
58,Nina Cavalcanti,Financeiro,Técnico,8254.08,2022-08-18,M,60,Viúvo,Ativo
59,Ryan da Rosa,Financeiro,Assistente,10487.35,2024-09-22,M,62,Viúvo,Inativo
60,Dr. André Ramos,TI,Técnico,8037.41,2022-09-05,M,52,Viúvo,Ativo
61,Luiz Henrique Barros,Financeiro,Assistente,8678.2,2024-09-10,M,46,Casado,Inativo
62,Isabel Rodrigues,Produção,Assistente,14298.44,2024-11-09,M,33,Viúvo,Ativo
63,Dr. Thiago Almeida,RH,Gerente,5063.42,2019-03-25,F,32,Casado,Inativo
64,Stella Moraes,Produção,Analista,10365.67,2017-11-12,M,19,Viúvo,Ativo
65,Vicente Dias,RH,Assistente,11324.25,2016-07-22,F,58,Divorciado,Ativo
66,Bernardo Dias,RH,Assistente,5063.5,2023-03-11,F,44,Divorciado,Ativo
67,João Gabriel Caldeira,Produção,Assistente,10561.08,2021-10-10,M,63,Viúvo,Ativo
68,Daniela Farias,TI,Técnico,3875.09,2021-10-23,F,62,Solteiro,Inativo
69,Bianca Lima,Vendas,Coordenador,3742.37,2025-07-24,F,33,Divorciado,Ativo
70,Enzo Gabriel da Mota,TI,Técnico,9391.96,2015-11-29,F,65,Divorciado,Inativo
71,Luiz Felipe Silva,Vendas,Gerente,2639.39,2023-07-07,M,24,Viúvo,Inativo
72,Benício Monteiro,Produção,Técnico,9858.56,2019-08-12,F,35,Divorciado,Ativo
73,Sr. Gustavo Henrique Moreira,RH,Assistente,3762.64,2018-04-28,M,30,Viúvo,Ativo
74,Sr. Emanuel Rodrigues,RH,Técnico,10966.9,2021-10-22,M,37,Casado,Inativo
75,Maria Eduarda da Rocha,Logística,Assistente,12104.93,2015-10-21,F,45,Casado,Inativo
76,Luna Silva,Produção,Coordenador,3912.77,2024-10-24,F,48,Viúvo,Inativo
77,Isaac Lopes,Produção,Coordenador,2297.43,2019-02-06,M,36,Viúvo,Ativo
78,Arthur da Rosa,Logística,Analista,14226.15,2019-10-04,F,45,Viúvo,Inativo
79,João Barbosa,TI,Assistente,3735.05,2025-02-27,F,65,Casado,Ativo
80,Breno da Paz,TI,Técnico,9870.75,2017-07-29,F,54,Casado,Inativo
81,Gabriela Freitas,Logística,Analista,5573.44,2021-03-16,F,65,Divorciado,Ativo
82,Júlia Araújo,Logística,Coordenador,13835.96,2017-09-22,M,40,Viúvo,Inativo
83,Vinicius da Cunha,Vendas,Técnico,5481.17,2018-10-18,M,48,Casado,Ativo
84,Pietro Fernandes,RH,Técnico,3239.06,2017-01-02,M,49,Solteiro,Ativo
85,Marina Ribeiro,Produção,Coordenador,6106.47,2017-09-03,F,18,Solteiro,Ativo
86,Isabel Fogaça,RH,Técnico,12980.52,2016-11-09,F,52,Casado,Ativo
87,Lucca Araújo,TI,Assistente,4696.83,2024-03-20,F,37,Divorciado,Inativo
88,Cauã Silva,Vendas,Coordenador,2016.61,2018-01-29,F,19,Solteiro,Ativo
89,Mirella da Costa,Produção,Gerente,14460.59,2024-04-03,F,41,Casado,Ativo
90,Gabrielly Freitas,RH,Coordenador,11678.0,2016-09-24,F,30,Viúvo,Inativo
91,Dra. Luiza Sales,RH,Técnico,5074.29,2020-09-10,F,23,Solteiro,Inativo
92,Arthur Moura,Vendas,Coordenador,4435.83,2024-07-02,M,18,Divorciado,Ativo
93,Calebe Campos,Vendas,Técnico,2417.15,2023-07-29,F,64,Viúvo,Inativo
94,Júlia Cardoso,TI,Coordenador,13409.89,2018-04-19,M,24,Divorciado,Inativo
95,Kevin Ferreira,RH,Coordenador,2523.3,2022-08-09,F,35,Casado,Inativo
96,Yuri Porto,RH,Técnico,6330.58,2018-08-20,F,39,Casado,Ativo
97,Ana Fogaça,Vendas,Gerente,2425.39,2022-03-25,M,37,Viúvo,Ativo
98,Anthony das Neves,Produção,Gerente,10523.68,2018-02-12,F,39,Solteiro,Ativo
99,Pietro Castro,RH,Assistente,7203.07,2019-04-22,F,58,Solteiro,Inativo
100,Helena Gonçalves,Financeiro,Assistente,13896.74,2019-06-08,F,26,Casado,Ativo
101,Luiz Otávio Novaes,TI,Analista,3301.95,2015-11-12,M,58,Viúvo,Inativo
102,Brenda Aragão,Produção,Técnico,5450.49,2017-06-24,M,23,Solteiro,Inativo
103,Evelyn da Rocha,RH,Coordenador,12030.35,2023-05-17,F,30,Casado,Inativo
104,Ana Júlia da Luz,RH,Técnico,7329.99,2024-01-13,M,64,Viúvo,Inativo
105,Fernanda Almeida,Produção,Gerente,14948.18,2017-05-17,M,20,Solteiro,Inativo
106,Dr. Diego Campos,RH,Coordenador,14703.7,2020-12-25,F,52,Solteiro,Ativo
107,Isadora Teixeira,Financeiro,Analista,2731.04,2016-10-18,F,40,Viúvo,Ativo
108,Giovanna Mendes,Vendas,Técnico,2210.27,2025-04-29,M,36,Viúvo,Inativo
109,Dra. Maria Alice Oliveira,TI,Técnico,12258.99,2016-10-20,F,63,Divorciado,Ativo
110,Mirella Lima,Financeiro,Assistente,4119.5,2017-11-13,M,47,Casado,Inativo
111,João Pedro Rodrigues,Produção,Assistente,12591.9,2024-09-01,M,37,Casado,Ativo
112,Evelyn da Costa,Produção,Técnico,10380.64,2022-01-09,M,25,Divorciado,Inativo
113,Pedro Lucas Cunha,Financeiro,Assistente,6587.44,2023-05-19,M,65,Divorciado,Ativo
114,Pedro Lucas da Paz,RH,Gerente,7193.38,2020-03-03,F,60,Viúvo,Inativo
115,Dr. Marcos Vinicius Campos,Financeiro,Analista,6118.75,2020-01-15,M,38,Solteiro,Ativo
116,Dr. Erick da Rocha,Financeiro,Assistente,8893.64,2019-07-10,M,47,Casado,Ativo
117,Gabriela Sales,Logística,Analista,3628.3,2024-04-07,M,30,Solteiro,Inativo
118,Eloah Araújo,Vendas,Gerente,14440.92,2016-01-19,F,43,Divorciado,Inativo
119,Pietro Almeida,Vendas,Coordenador,11445.42,2024-09-29,M,60,Viúvo,Ativo
120,Davi Lucca Cardoso,Logística,Gerente,3265.14,2019-09-21,F,64,Casado,Ativo
121,Rebeca Dias,Financeiro,Gerente,8487.38,2022-07-06,F,25,Viúvo,Inativo
122,Srta. Maria Fernanda Melo,RH,Coordenador,3546.83,2025-03-03,F,50,Casado,Inativo
123,Sr. João Lucas da Mota,Logística,Coordenador,13604.34,2019-05-01,F,57,Viúvo,Inativo
124,Emanuella Costela,RH,Assistente,6640.74,2021-05-20,F,52,Solteiro,Ativo
125,Pedro Henrique Santos,TI,Analista,12796.79,2017-06-26,M,47,Divorciado,Ativo
126,João Gabriel Lopes,Logística,Gerente,10372.78,2025-04-17,F,24,Viúvo,Ativo
127,Maria Clara da Rocha,Financeiro,Coordenador,7454.93,2022-12-09,F,41,Casado,Ativo
128,Enzo Lima,Produção,Gerente,10084.05,2025-02-21,F,36,Solteiro,Ativo
129,Eduarda Costa,Vendas,Gerente,9449.27,2021-12-11,M,28,Solteiro,Ativo
130,Lívia Barros,TI,Técnico,5061.23,2018-12-24,F,28,Casado,Inativo
131,Catarina Costela,TI,Gerente,9597.83,2023-07-03,M,56,Casado,Inativo
132,Laura Cardoso,TI,Gerente,7364.46,2018-06-29,M,50,Divorciado,Inativo
133,Cauã Fernandes,Produção,Coordenador,14125.48,2020-08-28,M,65,Divorciado,Inativo
134,Dr. Benjamin Nunes,Vendas,Técnico,2614.77,2024-12-12,M,40,Casado,Ativo
135,Yago Costela,Financeiro,Analista,7499.29,2015-12-07,M,19,Viúvo,Ativo
136,Caio Moura,Vendas,Gerente,2963.24,2018-06-12,M,53,Viúvo,Ativo
137,Sr. Nathan Farias,Logística,Gerente,5519.93,2021-05-13,F,63,Divorciado,Inativo
138,Beatriz Duarte,Vendas,Assistente,4204.51,2024-09-10,M,35,Casado,Ativo
139,Nina da Rocha,Logística,Assistente,7842.69,2020-10-02,F,45,Divorciado,Inativo
140,Alexia Caldeira,Vendas,Gerente,11322.0,2024-12-28,F,25,Casado,Inativo
141,Sra. Maria Julia Fernandes,RH,Técnico,11636.77,2020-07-29,M,25,Viúvo,Ativo
142,Davi Lucca Castro,Vendas,Técnico,5753.21,2022-10-22,F,19,Divorciado,Inativo
143,Helena da Mota,RH,Coordenador,10605.89,2020-07-27,F,44,Casado,Ativo
144,Davi Lucas Caldeira,Produção,Coordenador,9086.65,2023-02-08,F,38,Solteiro,Inativo
145,Luna Cardoso,Produção,Gerente,5621.19,2023-03-20,M,38,Casado,Ativo
146,Sr. Antônio Silveira,TI,Técnico,10544.85,2018-02-21,M,26,Divorciado,Ativo
147,Laís Melo,Produção,Técnico,14095.43,2019-09-17,F,48,Divorciado,Inativo
148,Vinicius Campos,RH,Coordenador,9597.38,2021-04-16,M,35,Viúvo,Ativo
149,Alícia Ribeiro,Vendas,Técnico,10987.24,2022-09-22,F,37,Viúvo,Ativo
150,Srta. Raquel Duarte,Financeiro,Coordenador,8944.28,2017-03-26,F,34,Solteiro,Inativo
151,Rafael Rocha,Produção,Técnico,2383.0,2016-01-27,M,40,Divorciado,Ativo
152,Beatriz Nogueira,Financeiro,Técnico,4348.04,2018-10-05,F,58,Divorciado,Ativo
153,Ana Carolina Peixoto,Logística,Analista,11241.83,2016-06-27,F,39,Casado,Ativo
154,Bruno Pinto,Financeiro,Analista,4088.5,2019-12-07,M,42,Solteiro,Ativo
155,Luiz Felipe Lopes,Logística,Coordenador,13376.95,2016-06-08,F,36,Solteiro,Ativo
156,João Silva,Financeiro,Gerente,4966.75,2018-05-31,M,47,Casado,Ativo
157,Vinicius Cavalcanti,Vendas,Técnico,7181.7,2020-06-10,M,31,Viúvo,Inativo
158,Isadora Azevedo,Vendas,Técnico,11472.74,2023-09-24,M,64,Viúvo,Ativo
159,Pedro Lucas Nascimento,Logística,Coordenador,10335.25,2019-09-29,F,58,Solteiro,Inativo
160,Sra. Maria Clara Castro,RH,Gerente,8773.51,2022-03-11,F,46,Solteiro,Ativo
161,Valentina Gomes,Produção,Analista,14040.0,2021-12-18,F,31,Viúvo,Inativo
162,Giovanna Nascimento,Vendas,Gerente,14904.99,2019-03-23,F,42,Divorciado,Ativo
163,Vicente Souza,RH,Gerente,13577.05,2019-07-14,M,38,Divorciado,Inativo
164,Sr. Benício Ribeiro,RH,Técnico,8194.41,2016-10-12,M,28,Divorciado,Inativo
165,Alexia da Cruz,RH,Analista,2720.29,2016-01-19,F,54,Viúvo,Ativo
166,Diego Sales,Vendas,Técnico,14594.93,2023-03-14,M,40,Casado,Ativo
167,Gustavo Henrique Rocha,Logística,Coordenador,7857.82,2015-11-14,F,47,Viúvo,Ativo
168,Marcela Cavalcanti,TI,Técnico,4142.55,2016-08-05,F,50,Viúvo,Ativo
169,Henrique Lopes,Logística,Coordenador,5878.06,2022-04-24,M,26,Divorciado,Ativo
170,Sr. Lorenzo Melo,RH,Coordenador,14020.32,2024-12-28,M,18,Solteiro,Ativo
171,Cauê Cardoso,Produção,Técnico,2862.18,2022-11-01,F,49,Casado,Ativo
172,Lavínia Martins,RH,Gerente,7160.25,2025-05-05,M,26,Viúvo,Inativo
173,Luiz Felipe Pires,Vendas,Analista,4225.91,2023-04-09,M,54,Viúvo,Ativo
174,Srta. Bruna da Rocha,Produção,Técnico,4806.27,2023-12-10,F,57,Divorciado,Ativo
175,Laura Peixoto,Logística,Assistente,11471.17,2024-12-12,F,54,Divorciado,Ativo
176,Maria Cardoso,TI,Gerente,12127.27,2024-05-22,F,54,Casado,Inativo
177,Larissa Castro,TI,Assistente,11964.67,2021-04-18,F,21,Divorciado,Ativo
178,Kevin Freitas,Financeiro,Coordenador,9868.25,2018-08-14,M,63,Solteiro,Inativo
179,Marcos Vinicius Castro,Financeiro,Gerente,7714.11,2018-08-23,M,55,Casado,Ativo
180,Sra. Maria Alice Pires,Financeiro,Assistente,9254.91,2019-10-01,F,29,Viúvo,Ativo
181,Brenda Moura,TI,Assistente,6704.32,2017-02-19,F,29,Divorciado,Inativo
182,Matheus da Paz,Financeiro,Gerente,14270.97,2019-02-01,F,43,Solteiro,Inativo
183,Dra. Amanda Ramos,Produção,Técnico,11408.29,2018-06-06,F,31,Viúvo,Ativo
184,Marcos Vinicius Nascimento,Produção,Analista,13610.89,2015-10-27,M,36,Casado,Inativo
185,Vitor Gabriel Carvalho,Produção,Assistente,10997.7,2023-12-23,F,35,Casado,Inativo
186,Carlos Eduardo Nunes,Vendas,Coordenador,4563.36,2018-05-25,M,56,Solteiro,Ativo
187,Isabel Barros,Logística,Assistente,5867.69,2023-09-09,M,46,Casado,Ativo
188,Ana Júlia Cardoso,TI,Gerente,8738.63,2021-05-30,M,52,Viúvo,Ativo
189,João Pereira,Produção,Técnico,8151.56,2016-09-12,M,28,Casado,Inativo
190,Levi Freitas,Vendas,Assistente,3011.79,2017-11-04,M,22,Viúvo,Inativo
191,Bruno Jesus,RH,Técnico,7224.6,2021-06-18,F,31,Solteiro,Ativo
192,Laís Rodrigues,Financeiro,Técnico,3718.9,2021-11-19,F,64,Viúvo,Ativo
193,Augusto Dias,Financeiro,Gerente,9930.1,2016-05-20,F,42,Viúvo,Ativo
194,Enzo das Neves,Logística,Técnico,7686.01,2024-10-02,F,30,Solteiro,Inativo
195,Kaique Ramos,Financeiro,Gerente,12459.69,2024-11-24,M,27,Solteiro,Inativo
196,Anthony Ferreira,Logística,Gerente,4996.47,2022-02-20,F,40,Divorciado,Inativo
197,Maitê Gomes,TI,Assistente,2926.46,2019-11-09,M,20,Solteiro,Ativo
198,Dra. Maria Alice Pires,Logística,Assistente,10085.14,2022-11-19,M,19,Solteiro,Ativo
199,Alice Gonçalves,Vendas,Coordenador,14561.17,2021-05-11,M,29,Casado,Ativo
200,Sra. Bárbara Correia,Produção,Assistente,2248.04,2020-03-24,M,30,Solteiro,Inativo
201,Diego Nunes,Produção,Analista,13768.79,2025-03-13,M,18,Solteiro,Inativo
202,Eloah Almeida,RH,Coordenador,7814.48,2020-04-13,F,22,Divorciado,Ativo
203,Isabelly Lopes,Vendas,Assistente,5096.17,2022-02-21,M,55,Viúvo,Ativo
204,Isis Cavalcanti,Financeiro,Assistente,6711.24,2019-05-23,F,45,Casado,Inativo
205,Thales Fogaça,Produção,Gerente,6475.29,2020-03-20,F,32,Divorciado,Ativo
206,Sabrina Freitas,TI,Assistente,11009.86,2024-10-04,F,63,Casado,Inativo
207,Srta. Maria Ramos,Logística,Assistente,6514.93,2022-04-21,M,53,Casado,Inativo
208,Ana Luiza Caldeira,Logística,Assistente,4242.43,2022-01-26,M,63,Divorciado,Inativo
209,Matheus Silva,Logística,Coordenador,14238.87,2023-04-16,F,58,Divorciado,Inativo
210,Dr. Lorenzo Melo,Logística,Gerente,8282.04,2016-09-21,F,42,Solteiro,Inativo
211,Ana Clara da Paz,RH,Técnico,6096.02,2019-06-25,M,18,Divorciado,Inativo
212,Marcela Nunes,Vendas,Gerente,2328.5,2024-11-13,F,23,Divorciado,Ativo
213,Maysa Moura,Produção,Assistente,14302.43,2021-04-24,F,37,Solteiro,Ativo
214,Sra. Joana Azevedo,TI,Assistente,10368.29,2017-02-17,F,21,Solteiro,Ativo
215,Amanda da Paz,TI,Analista,4007.65,2016-10-21,M,43,Divorciado,Inativo
216,Fernando Carvalho,Logística,Gerente,10726.08,2025-05-17,M,53,Viúvo,Ativo
217,Yago Farias,Produção,Analista,11439.23,2018-12-09,M,41,Divorciado,Inativo
218,Laís Aragão,TI,Técnico,12537.3,2015-12-05,M,57,Divorciado,Inativo
219,Cauã Ramos,Financeiro,Técnico,14918.19,2024-06-30,F,63,Casado,Inativo
220,Raul da Cunha,Logística,Coordenador,12500.4,2020-07-01,M,63,Divorciado,Inativo
221,Maitê da Luz,Vendas,Analista,3258.67,2023-07-01,F,22,Viúvo,Inativo
222,Sra. Marina da Mota,Produção,Gerente,13608.9,2019-05-31,F,31,Viúvo,Ativo
223,Larissa Barbosa,Vendas,Coordenador,13272.21,2024-08-07,M,37,Solteiro,Inativo
224,Júlia Duarte,Logística,Assistente,6883.51,2021-11-22,F,33,Solteiro,Ativo
225,Davi Lucas Rodrigues,Financeiro,Coordenador,7893.36,2023-04-03,F,23,Solteiro,Ativo
226,Mirella Cavalcanti,Financeiro,Assistente,5820.53,2022-05-10,F,36,Solteiro,Inativo
227,Maria Cecília Farias,Vendas,Coordenador,11589.7,2023-01-06,M,48,Casado,Inativo
228,Heitor Azevedo,TI,Analista,6011.62,2020-07-14,F,65,Casado,Inativo
229,Gabriel Lima,Produção,Assistente,8170.78,2024-02-22,F,37,Divorciado,Ativo
230,Mariana Lima,Produção,Coordenador,13263.95,2017-10-29,F,47,Viúvo,Ativo
231,Maria Julia Dias,Produção,Gerente,14782.61,2024-08-25,F,29,Viúvo,Ativo
232,Ana Júlia Melo,Vendas,Gerente,11141.24,2016-08-30,F,30,Divorciado,Ativo
233,Guilherme Rocha,Vendas,Gerente,9095.18,2023-03-23,M,18,Casado,Ativo
234,Clara Cunha,Logística,Técnico,11135.83,2022-03-08,F,64,Divorciado,Ativo
235,Srta. Laura Correia,RH,Assistente,12592.75,2023-05-26,F,37,Solteiro,Inativo
236,Joaquim da Paz,TI,Técnico,2013.79,2021-12-11,M,49,Viúvo,Ativo
237,Bernardo Souza,Vendas,Coordenador,9866.62,2018-07-21,F,32,Divorciado,Ativo
238,Sra. Marina Novaes,RH,Gerente,5987.51,2017-12-08,F,37,Solteiro,Ativo
239,Yasmin Pinto,Logística,Analista,8200.68,2015-12-13,M,61,Viúvo,Ativo
240,Sr. Luiz Gustavo Novaes,Financeiro,Técnico,12475.64,2025-05-15,M,21,Solteiro,Ativo
241,Sophie Vieira,RH,Técnico,14605.64,2018-05-23,F,23,Solteiro,Ativo
242,Maria Fernanda Rocha,Logística,Gerente,5303.66,2016-04-09,M,65,Divorciado,Inativo
243,João Miguel Ribeiro,TI,Coordenador,6180.75,2023-06-15,F,44,Divorciado,Ativo
244,Srta. Joana da Cunha,TI,Assistente,2889.88,2018-10-06,F,25,Casado,Ativo
245,Ana Beatriz Carvalho,Financeiro,Técnico,7419.92,2017-07-16,M,56,Divorciado,Ativo
246,Evelyn da Cruz,Vendas,Técnico,5938.19,2018-04-04,F,49,Divorciado,Inativo
247,Rodrigo Caldeira,Logística,Assistente,2742.71,2022-08-16,F,25,Divorciado,Inativo
248,Ian Pereira,TI,Gerente,2395.32,2019-05-10,M,55,Divorciado,Ativo
249,Davi Luiz Viana,TI,Analista,3812.72,2017-01-27,M,62,Divorciado,Inativo
250,Matheus Nunes,Financeiro,Analista,12349.5,2022-11-10,F,24,Viúvo,Ativo
251,Lorenzo Sales,Financeiro,Gerente,11537.39,2022-08-13,M,40,Viúvo,Ativo
252,Rafael Cardoso,Produção,Assistente,6054.62,2022-01-12,M,44,Viúvo,Inativo
253,Srta. Mariana Cardoso,Vendas,Técnico,13324.23,2021-06-09,M,23,Divorciado,Ativo
254,Lucas Gabriel Azevedo,Logística,Técnico,7260.85,2023-03-05,F,46,Divorciado,Inativo
255,Ana Sophia Nogueira,RH,Coordenador,11790.01,2024-08-27,F,24,Viúvo,Inativo
256,Rodrigo da Costa,Financeiro,Técnico,6806.84,2024-09-17,F,38,Casado,Inativo
257,Ana Dias,RH,Coordenador,5649.55,2021-10-09,F,34,Casado,Ativo
258,Sr. Thales Ferreira,Vendas,Gerente,9749.29,2016-02-22,M,20,Divorciado,Inativo
259,João Miguel Santos,RH,Analista,10236.2,2024-10-18,M,46,Viúvo,Inativo
260,Maria Julia Alves,Produção,Coordenador,8100.0,2023-11-25,M,55,Casado,Ativo
261,Sarah da Mota,RH,Analista,6452.88,2023-09-10,M,65,Casado,Ativo
262,Isabelly da Conceição,Logística,Assistente,13707.53,2015-12-14,M,62,Solteiro,Inativo
263,Dra. Maitê Gonçalves,Produção,Assistente,3932.61,2024-06-04,F,52,Divorciado,Ativo
264,Henrique Ramos,Financeiro,Analista,6093.24,2024-04-06,M,42,Divorciado,Inativo
265,Sr. Marcos Vinicius Azevedo,Vendas,Assistente,9756.53,2017-12-11,F,57,Casado,Ativo
266,Emanuelly Santos,RH,Analista,7278.69,2020-01-07,M,39,Solteiro,Ativo
267,Daniel Dias,Produção,Gerente,5567.84,2018-06-25,M,43,Viúvo,Ativo
268,Lorena Pereira,TI,Analista,14641.36,2025-06-15,M,27,Divorciado,Ativo
269,Ana Vitória Pires,RH,Técnico,7808.93,2017-01-02,M,50,Divorciado,Ativo
270,Gabriela Alves,Produção,Analista,12211.27,2019-01-07,M,48,Divorciado,Ativo
271,João Lucas Monteiro,TI,Assistente,5581.75,2022-01-31,F,53,Casado,Inativo
272,Helena Novaes,Produção,Técnico,10223.23,2019-12-21,M,40,Casado,Ativo
273,Ian Sales,Logística,Gerente,7637.83,2024-02-02,F,34,Viúvo,Inativo
274,Ana Clara Peixoto,TI,Gerente,7301.14,2019-11-16,M,46,Casado,Ativo
275,João Vitor da Conceição,Financeiro,Gerente,5160.25,2017-12-26,M,29,Solteiro,Inativo
276,Dr. Marcos Vinicius Moraes,Vendas,Assistente,14836.14,2023-07-28,F,23,Divorciado,Ativo
277,Srta. Milena da Rocha,Produção,Gerente,7196.01,2025-06-05,F,25,Solteiro,Ativo
278,João Miguel Aragão,TI,Técnico,5652.06,2022-10-04,F,58,Viúvo,Inativo
279,Dr. Davi Lucas Cardoso,Produção,Gerente,14899.72,2022-11-23,M,45,Divorciado,Inativo
280,Sra. Clarice Campos,RH,Assistente,4036.18,2025-07-06,F,60,Divorciado,Ativo
281,Arthur Rodrigues,TI,Coordenador,7191.1,2020-04-30,M,29,Solteiro,Inativo
282,Calebe Nunes,Logística,Assistente,11435.01,2020-03-15,M,60,Solteiro,Ativo
283,Samuel Rodrigues,Produção,Gerente,6349.11,2021-02-26,F,26,Divorciado,Inativo
284,Luigi Duarte,Produção,Gerente,14565.16,2022-07-15,F,40,Viúvo,Ativo
285,Marina Nogueira,Produção,Técnico,7214.06,2022-11-15,M,47,Divorciado,Ativo
286,Melissa Dias,TI,Analista,2348.94,2023-06-29,F,44,Casado,Inativo
287,Carlos Eduardo Jesus,Logística,Assistente,11209.82,2018-12-16,M,50,Casado,Ativo
